"GEOID","NAME","year","category","estimate","moe"
"47037014600","Census Tract 146, Davidson County, Tennessee",2000,"CBD",625,NA
"47037014700","Census Tract 147, Davidson County, Tennessee",2000,"CBD",843,NA
"47037011300","Census Tract 113, Davidson County, Tennessee",2000,"Adjacent",549,NA
"47037011700","Census Tract 117, Davidson County, Tennessee",2000,"Adjacent",509,NA
"47037011800","Census Tract 118, Davidson County, Tennessee",2000,"Adjacent",415,NA
"47037011900","Census Tract 119, Davidson County, Tennessee",2000,"Adjacent",420,NA
"47037012000","Census Tract 120, Davidson County, Tennessee",2000,"Adjacent",510,NA
"47037012100","Census Tract 121, Davidson County, Tennessee",2000,"Adjacent",599,NA
"47037012200","Census Tract 122, Davidson County, Tennessee",2000,"Adjacent",517,NA
"47037012300","Census Tract 123, Davidson County, Tennessee",2000,"Adjacent",466,NA
"47037012400","Census Tract 124, Davidson County, Tennessee",2000,"Adjacent",165,NA
"47037012500","Census Tract 125, Davidson County, Tennessee",2000,"Adjacent",144,NA
"47037012600","Census Tract 126, Davidson County, Tennessee",2000,"Adjacent",485,NA
"47037012702","Census Tract 127.02, Davidson County, Tennessee",2000,"Adjacent",543,NA
"47037013500","Census Tract 135, Davidson County, Tennessee",2000,"Adjacent",499,NA
"47037013600","Census Tract 136, Davidson County, Tennessee",2000,"Adjacent",400,NA
"47037013700","Census Tract 137, Davidson County, Tennessee",2000,"Adjacent",333,NA
"47037013800","Census Tract 138, Davidson County, Tennessee",2000,"Adjacent",509,NA
"47037013900","Census Tract 139, Davidson County, Tennessee",2000,"Adjacent",471,NA
"47037014000","Census Tract 140, Davidson County, Tennessee",2000,"Adjacent",329,NA
"47037014100","Census Tract 141, Davidson County, Tennessee",2000,"Adjacent",615,NA
"47037014200","Census Tract 142, Davidson County, Tennessee",2000,"Adjacent",354,NA
"47037014300","Census Tract 143, Davidson County, Tennessee",2000,"Adjacent",431,NA
"47037014400","Census Tract 144, Davidson County, Tennessee",2000,"Adjacent",189,NA
"47037014500","Census Tract 145, Davidson County, Tennessee",2000,"Adjacent",559,NA
"47037014900","Census Tract 149, Davidson County, Tennessee",2000,"Adjacent",579,NA
"47037015900","Census Tract 159, Davidson County, Tennessee",2000,"Adjacent",306,NA
"47037016000","Census Tract 160, Davidson County, Tennessee",2000,"Adjacent",407,NA
"47037016100","Census Tract 161, Davidson County, Tennessee",2000,"Adjacent",336,NA
"47037016200","Census Tract 162, Davidson County, Tennessee",2000,"Adjacent",291,NA
"47037016300","Census Tract 163, Davidson County, Tennessee",2000,"Adjacent",463,NA
"47037016400","Census Tract 164, Davidson County, Tennessee",2000,"Adjacent",642,NA
"47037016500","Census Tract 165, Davidson County, Tennessee",2000,"Adjacent",774,NA
"47037016600","Census Tract 166, Davidson County, Tennessee",2000,"Adjacent",562,NA
"47037016800","Census Tract 168, Davidson County, Tennessee",2000,"Adjacent",726,NA
"47037016900","Census Tract 169, Davidson County, Tennessee",2000,"Adjacent",591,NA
"47037017000","Census Tract 170, Davidson County, Tennessee",2000,"Adjacent",604,NA
"47037017100","Census Tract 171, Davidson County, Tennessee",2000,"Adjacent",538,NA
"47037017200","Census Tract 172, Davidson County, Tennessee",2000,"Adjacent",599,NA
"47037014600","Census Tract 146, Davidson County, Tennessee",2009,"CBD",764,38
"47037014700","Census Tract 147, Davidson County, Tennessee",2009,"CBD",886,169
"47037011300","Census Tract 113, Davidson County, Tennessee",2009,"Adjacent",745,89
"47037011700","Census Tract 117, Davidson County, Tennessee",2009,"Adjacent",730,93
"47037011800","Census Tract 118, Davidson County, Tennessee",2009,"Adjacent",729,85
"47037011900","Census Tract 119, Davidson County, Tennessee",2009,"Adjacent",502,43
"47037012000","Census Tract 120, Davidson County, Tennessee",2009,"Adjacent",855,374
"47037012100","Census Tract 121, Davidson County, Tennessee",2009,"Adjacent",762,99
"47037012200","Census Tract 122, Davidson County, Tennessee",2009,"Adjacent",837,40
"47037012300","Census Tract 123, Davidson County, Tennessee",2009,"Adjacent",627,54
"47037012400","Census Tract 124, Davidson County, Tennessee",2009,"Adjacent",262,47
"47037012500","Census Tract 125, Davidson County, Tennessee",2009,"Adjacent",546,142
"47037012600","Census Tract 126, Davidson County, Tennessee",2009,"Adjacent",583,61
"47037012702","Census Tract 127.02, Davidson County, Tennessee",2009,"Adjacent",769,173
"47037013500","Census Tract 135, Davidson County, Tennessee",2009,"Adjacent",721,73
"47037013600","Census Tract 136, Davidson County, Tennessee",2009,"Adjacent",534,54
"47037013700","Census Tract 137, Davidson County, Tennessee",2009,"Adjacent",632,94
"47037013800","Census Tract 138, Davidson County, Tennessee",2009,"Adjacent",584,36
"47037013900","Census Tract 139, Davidson County, Tennessee",2009,"Adjacent",655,105
"47037014000","Census Tract 140, Davidson County, Tennessee",2009,"Adjacent",311,93
"47037014100","Census Tract 141, Davidson County, Tennessee",2009,"Adjacent",915,86
"47037014200","Census Tract 142, Davidson County, Tennessee",2009,"Adjacent",409,204
"47037014300","Census Tract 143, Davidson County, Tennessee",2009,"Adjacent",598,72
"47037014400","Census Tract 144, Davidson County, Tennessee",2009,"Adjacent",411,420
"47037014500","Census Tract 145, Davidson County, Tennessee",2009,"Adjacent",776,47
"47037014900","Census Tract 149, Davidson County, Tennessee",2009,"Adjacent",776,208
"47037015900","Census Tract 159, Davidson County, Tennessee",2009,"Adjacent",327,57
"47037016000","Census Tract 160, Davidson County, Tennessee",2009,"Adjacent",625,270
"47037016100","Census Tract 161, Davidson County, Tennessee",2009,"Adjacent",518,31
"47037016200","Census Tract 162, Davidson County, Tennessee",2009,"Adjacent",528,346
"47037016300","Census Tract 163, Davidson County, Tennessee",2009,"Adjacent",665,174
"47037016400","Census Tract 164, Davidson County, Tennessee",2009,"Adjacent",816,189
"47037016500","Census Tract 165, Davidson County, Tennessee",2009,"Adjacent",865,149
"47037016600","Census Tract 166, Davidson County, Tennessee",2009,"Adjacent",740,84
"47037016800","Census Tract 168, Davidson County, Tennessee",2009,"Adjacent",997,94
"47037016900","Census Tract 169, Davidson County, Tennessee",2009,"Adjacent",821,75
"47037017000","Census Tract 170, Davidson County, Tennessee",2009,"Adjacent",721,61
"47037017100","Census Tract 171, Davidson County, Tennessee",2009,"Adjacent",582,19
"47037017200","Census Tract 172, Davidson County, Tennessee",2009,"Adjacent",758,68
"47037011300","Census Tract 113, Davidson County, Tennessee",2010,"Adjacent",743,89
"47037011700","Census Tract 117, Davidson County, Tennessee",2010,"Adjacent",671,48
"47037011800","Census Tract 118, Davidson County, Tennessee",2010,"Adjacent",852,121
"47037011900","Census Tract 119, Davidson County, Tennessee",2010,"Adjacent",560,32
"47037012100","Census Tract 121, Davidson County, Tennessee",2010,"Adjacent",769,347
"47037012200","Census Tract 122, Davidson County, Tennessee",2010,"Adjacent",842,69
"47037012600","Census Tract 126, Davidson County, Tennessee",2010,"Adjacent",663,112
"47037012702","Census Tract 127.02, Davidson County, Tennessee",2010,"Adjacent",733,392
"47037013500","Census Tract 135, Davidson County, Tennessee",2010,"Adjacent",754,91
"47037013700","Census Tract 137, Davidson County, Tennessee",2010,"Adjacent",705,68
"47037013800","Census Tract 138, Davidson County, Tennessee",2010,"Adjacent",579,131
"47037013900","Census Tract 139, Davidson County, Tennessee",2010,"Adjacent",638,112
"47037014200","Census Tract 142, Davidson County, Tennessee",2010,"Adjacent",462,158
"47037014300","Census Tract 143, Davidson County, Tennessee",2010,"Adjacent",656,122
"47037014400","Census Tract 144, Davidson County, Tennessee",2010,"Adjacent",673,229
"47037015900","Census Tract 159, Davidson County, Tennessee",2010,"Adjacent",371,39
"47037016000","Census Tract 160, Davidson County, Tennessee",2010,"Adjacent",581,214
"47037016100","Census Tract 161, Davidson County, Tennessee",2010,"Adjacent",557,52
"47037016200","Census Tract 162, Davidson County, Tennessee",2010,"Adjacent",349,103
"47037016300","Census Tract 163, Davidson County, Tennessee",2010,"Adjacent",685,116
"47037016400","Census Tract 164, Davidson County, Tennessee",2010,"Adjacent",860,144
"47037016500","Census Tract 165, Davidson County, Tennessee",2010,"Adjacent",1032,147
"47037016600","Census Tract 166, Davidson County, Tennessee",2010,"Adjacent",804,111
"47037016800","Census Tract 168, Davidson County, Tennessee",2010,"Adjacent",1020,74
"47037016900","Census Tract 169, Davidson County, Tennessee",2010,"Adjacent",830,58
"47037017000","Census Tract 170, Davidson County, Tennessee",2010,"Adjacent",774,35
"47037017100","Census Tract 171, Davidson County, Tennessee",2010,"Adjacent",611,103
"47037017200","Census Tract 172, Davidson County, Tennessee",2010,"Adjacent",760,57
"47037019500","Census Tract 195, Davidson County, Tennessee",2011,"CBD",886,79
"47037011300","Census Tract 113, Davidson County, Tennessee",2011,"Adjacent",757,145
"47037011700","Census Tract 117, Davidson County, Tennessee",2011,"Adjacent",694,80
"47037011800","Census Tract 118, Davidson County, Tennessee",2011,"Adjacent",790,126
"47037011900","Census Tract 119, Davidson County, Tennessee",2011,"Adjacent",574,51
"47037012100","Census Tract 121, Davidson County, Tennessee",2011,"Adjacent",745,87
"47037012200","Census Tract 122, Davidson County, Tennessee",2011,"Adjacent",848,58
"47037012600","Census Tract 126, Davidson County, Tennessee",2011,"Adjacent",739,88
"47037012702","Census Tract 127.02, Davidson County, Tennessee",2011,"Adjacent",671,393
"47037013400","Census Tract 134, Davidson County, Tennessee",2011,"Adjacent",944,91
"47037013500","Census Tract 135, Davidson County, Tennessee",2011,"Adjacent",775,58
"47037013601","Census Tract 136.01, Davidson County, Tennessee",2011,"Adjacent",556,30
"47037013602","Census Tract 136.02, Davidson County, Tennessee",2011,"Adjacent",364,280
"47037013700","Census Tract 137, Davidson County, Tennessee",2011,"Adjacent",723,53
"47037013800","Census Tract 138, Davidson County, Tennessee",2011,"Adjacent",641,66
"47037013900","Census Tract 139, Davidson County, Tennessee",2011,"Adjacent",668,51
"47037014200","Census Tract 142, Davidson County, Tennessee",2011,"Adjacent",471,128
"47037014300","Census Tract 143, Davidson County, Tennessee",2011,"Adjacent",684,49
"47037014400","Census Tract 144, Davidson County, Tennessee",2011,"Adjacent",751,141
"47037015900","Census Tract 159, Davidson County, Tennessee",2011,"Adjacent",365,59
"47037016000","Census Tract 160, Davidson County, Tennessee",2011,"Adjacent",519,163
"47037016100","Census Tract 161, Davidson County, Tennessee",2011,"Adjacent",603,68
"47037016200","Census Tract 162, Davidson County, Tennessee",2011,"Adjacent",517,269
"47037016300","Census Tract 163, Davidson County, Tennessee",2011,"Adjacent",715,54
"47037016400","Census Tract 164, Davidson County, Tennessee",2011,"Adjacent",789,171
"47037016500","Census Tract 165, Davidson County, Tennessee",2011,"Adjacent",1014,214
"47037016600","Census Tract 166, Davidson County, Tennessee",2011,"Adjacent",841,73
"47037016700","Census Tract 167, Davidson County, Tennessee",2011,"Adjacent",1334,110
"47037016800","Census Tract 168, Davidson County, Tennessee",2011,"Adjacent",1049,84
"47037016900","Census Tract 169, Davidson County, Tennessee",2011,"Adjacent",847,51
"47037017000","Census Tract 170, Davidson County, Tennessee",2011,"Adjacent",851,53
"47037017100","Census Tract 171, Davidson County, Tennessee",2011,"Adjacent",748,248
"47037017200","Census Tract 172, Davidson County, Tennessee",2011,"Adjacent",795,72
"47037017300","Census Tract 173, Davidson County, Tennessee",2011,"Adjacent",902,92
"47037019200","Census Tract 192, Davidson County, Tennessee",2011,"Adjacent",728,57
"47037019300","Census Tract 193, Davidson County, Tennessee",2011,"Adjacent",305,99
"47037019400","Census Tract 194, Davidson County, Tennessee",2011,"Adjacent",634,68
"47037019600","Census Tract 196, Davidson County, Tennessee",2011,"Adjacent",838,52
"47037019500","Census Tract 195, Davidson County, Tennessee",2012,"CBD",875,78
"47037011300","Census Tract 113, Davidson County, Tennessee",2012,"Adjacent",820,49
"47037011700","Census Tract 117, Davidson County, Tennessee",2012,"Adjacent",662,58
"47037011800","Census Tract 118, Davidson County, Tennessee",2012,"Adjacent",791,136
"47037011900","Census Tract 119, Davidson County, Tennessee",2012,"Adjacent",599,60
"47037012100","Census Tract 121, Davidson County, Tennessee",2012,"Adjacent",728,46
"47037012200","Census Tract 122, Davidson County, Tennessee",2012,"Adjacent",891,95
"47037012600","Census Tract 126, Davidson County, Tennessee",2012,"Adjacent",802,61
"47037012702","Census Tract 127.02, Davidson County, Tennessee",2012,"Adjacent",782,229
"47037013400","Census Tract 134, Davidson County, Tennessee",2012,"Adjacent",1010,123
"47037013500","Census Tract 135, Davidson County, Tennessee",2012,"Adjacent",804,151
"47037013601","Census Tract 136.01, Davidson County, Tennessee",2012,"Adjacent",565,36
"47037013602","Census Tract 136.02, Davidson County, Tennessee",2012,"Adjacent",551,424
"47037013700","Census Tract 137, Davidson County, Tennessee",2012,"Adjacent",711,87
"47037013800","Census Tract 138, Davidson County, Tennessee",2012,"Adjacent",704,75
"47037013900","Census Tract 139, Davidson County, Tennessee",2012,"Adjacent",691,101
"47037014200","Census Tract 142, Davidson County, Tennessee",2012,"Adjacent",535,45
"47037014300","Census Tract 143, Davidson County, Tennessee",2012,"Adjacent",734,61
"47037014400","Census Tract 144, Davidson County, Tennessee",2012,"Adjacent",655,49
"47037015900","Census Tract 159, Davidson County, Tennessee",2012,"Adjacent",390,39
"47037016000","Census Tract 160, Davidson County, Tennessee",2012,"Adjacent",642,317
"47037016100","Census Tract 161, Davidson County, Tennessee",2012,"Adjacent",620,114
"47037016200","Census Tract 162, Davidson County, Tennessee",2012,"Adjacent",435,294
"47037016300","Census Tract 163, Davidson County, Tennessee",2012,"Adjacent",766,58
"47037016400","Census Tract 164, Davidson County, Tennessee",2012,"Adjacent",820,114
"47037016500","Census Tract 165, Davidson County, Tennessee",2012,"Adjacent",1099,75
"47037016600","Census Tract 166, Davidson County, Tennessee",2012,"Adjacent",894,81
"47037016700","Census Tract 167, Davidson County, Tennessee",2012,"Adjacent",1280,133
"47037016800","Census Tract 168, Davidson County, Tennessee",2012,"Adjacent",1085,123
"47037016900","Census Tract 169, Davidson County, Tennessee",2012,"Adjacent",839,65
"47037017000","Census Tract 170, Davidson County, Tennessee",2012,"Adjacent",857,51
"47037017100","Census Tract 171, Davidson County, Tennessee",2012,"Adjacent",963,224
"47037017200","Census Tract 172, Davidson County, Tennessee",2012,"Adjacent",796,71
"47037017300","Census Tract 173, Davidson County, Tennessee",2012,"Adjacent",878,101
"47037019200","Census Tract 192, Davidson County, Tennessee",2012,"Adjacent",785,115
"47037019300","Census Tract 193, Davidson County, Tennessee",2012,"Adjacent",245,109
"47037019400","Census Tract 194, Davidson County, Tennessee",2012,"Adjacent",656,45
"47037019600","Census Tract 196, Davidson County, Tennessee",2012,"Adjacent",830,80
"47037019500","Census Tract 195, Davidson County, Tennessee",2013,"CBD",994,140
"47037011300","Census Tract 113, Davidson County, Tennessee",2013,"Adjacent",823,42
"47037011700","Census Tract 117, Davidson County, Tennessee",2013,"Adjacent",670,53
"47037011800","Census Tract 118, Davidson County, Tennessee",2013,"Adjacent",944,140
"47037011900","Census Tract 119, Davidson County, Tennessee",2013,"Adjacent",650,52
"47037012100","Census Tract 121, Davidson County, Tennessee",2013,"Adjacent",738,116
"47037012200","Census Tract 122, Davidson County, Tennessee",2013,"Adjacent",956,76
"47037012600","Census Tract 126, Davidson County, Tennessee",2013,"Adjacent",795,54
"47037012702","Census Tract 127.02, Davidson County, Tennessee",2013,"Adjacent",798,209
"47037013400","Census Tract 134, Davidson County, Tennessee",2013,"Adjacent",1071,134
"47037013500","Census Tract 135, Davidson County, Tennessee",2013,"Adjacent",857,90
"47037013601","Census Tract 136.01, Davidson County, Tennessee",2013,"Adjacent",593,25
"47037013602","Census Tract 136.02, Davidson County, Tennessee",2013,"Adjacent",564,352
"47037013700","Census Tract 137, Davidson County, Tennessee",2013,"Adjacent",705,46
"47037013800","Census Tract 138, Davidson County, Tennessee",2013,"Adjacent",687,57
"47037013900","Census Tract 139, Davidson County, Tennessee",2013,"Adjacent",695,96
"47037014200","Census Tract 142, Davidson County, Tennessee",2013,"Adjacent",547,40
"47037014300","Census Tract 143, Davidson County, Tennessee",2013,"Adjacent",793,129
"47037014400","Census Tract 144, Davidson County, Tennessee",2013,"Adjacent",710,71
"47037015900","Census Tract 159, Davidson County, Tennessee",2013,"Adjacent",485,55
"47037016000","Census Tract 160, Davidson County, Tennessee",2013,"Adjacent",608,168
"47037016100","Census Tract 161, Davidson County, Tennessee",2013,"Adjacent",625,33
"47037016200","Census Tract 162, Davidson County, Tennessee",2013,"Adjacent",613,110
"47037016300","Census Tract 163, Davidson County, Tennessee",2013,"Adjacent",792,43
"47037016400","Census Tract 164, Davidson County, Tennessee",2013,"Adjacent",831,63
"47037016500","Census Tract 165, Davidson County, Tennessee",2013,"Adjacent",952,147
"47037016600","Census Tract 166, Davidson County, Tennessee",2013,"Adjacent",949,72
"47037016700","Census Tract 167, Davidson County, Tennessee",2013,"Adjacent",1296,99
"47037016800","Census Tract 168, Davidson County, Tennessee",2013,"Adjacent",1213,150
"47037016900","Census Tract 169, Davidson County, Tennessee",2013,"Adjacent",855,106
"47037017000","Census Tract 170, Davidson County, Tennessee",2013,"Adjacent",907,69
"47037017100","Census Tract 171, Davidson County, Tennessee",2013,"Adjacent",1010,192
"47037017200","Census Tract 172, Davidson County, Tennessee",2013,"Adjacent",770,87
"47037017300","Census Tract 173, Davidson County, Tennessee",2013,"Adjacent",779,82
"47037019200","Census Tract 192, Davidson County, Tennessee",2013,"Adjacent",781,142
"47037019300","Census Tract 193, Davidson County, Tennessee",2013,"Adjacent",268,87
"47037019400","Census Tract 194, Davidson County, Tennessee",2013,"Adjacent",721,67
"47037019600","Census Tract 196, Davidson County, Tennessee",2013,"Adjacent",871,51
"47037019500","Census Tract 195, Davidson County, Tennessee",2014,"CBD",1231,174
"47037011300","Census Tract 113, Davidson County, Tennessee",2014,"Adjacent",812,72
"47037011700","Census Tract 117, Davidson County, Tennessee",2014,"Adjacent",767,66
"47037011800","Census Tract 118, Davidson County, Tennessee",2014,"Adjacent",789,234
"47037011900","Census Tract 119, Davidson County, Tennessee",2014,"Adjacent",707,68
"47037012100","Census Tract 121, Davidson County, Tennessee",2014,"Adjacent",807,110
"47037012200","Census Tract 122, Davidson County, Tennessee",2014,"Adjacent",948,54
"47037012600","Census Tract 126, Davidson County, Tennessee",2014,"Adjacent",828,76
"47037012702","Census Tract 127.02, Davidson County, Tennessee",2014,"Adjacent",799,274
"47037013400","Census Tract 134, Davidson County, Tennessee",2014,"Adjacent",987,108
"47037013500","Census Tract 135, Davidson County, Tennessee",2014,"Adjacent",890,64
"47037013601","Census Tract 136.01, Davidson County, Tennessee",2014,"Adjacent",627,49
"47037013602","Census Tract 136.02, Davidson County, Tennessee",2014,"Adjacent",596,163
"47037013700","Census Tract 137, Davidson County, Tennessee",2014,"Adjacent",710,71
"47037013800","Census Tract 138, Davidson County, Tennessee",2014,"Adjacent",733,37
"47037013900","Census Tract 139, Davidson County, Tennessee",2014,"Adjacent",746,34
"47037014200","Census Tract 142, Davidson County, Tennessee",2014,"Adjacent",538,39
"47037014300","Census Tract 143, Davidson County, Tennessee",2014,"Adjacent",767,54
"47037014400","Census Tract 144, Davidson County, Tennessee",2014,"Adjacent",678,73
"47037015900","Census Tract 159, Davidson County, Tennessee",2014,"Adjacent",385,76
"47037016000","Census Tract 160, Davidson County, Tennessee",2014,"Adjacent",823,87
"47037016100","Census Tract 161, Davidson County, Tennessee",2014,"Adjacent",617,67
"47037016200","Census Tract 162, Davidson County, Tennessee",2014,"Adjacent",658,62
"47037016300","Census Tract 163, Davidson County, Tennessee",2014,"Adjacent",794,41
"47037016400","Census Tract 164, Davidson County, Tennessee",2014,"Adjacent",854,83
"47037016500","Census Tract 165, Davidson County, Tennessee",2014,"Adjacent",1030,141
"47037016600","Census Tract 166, Davidson County, Tennessee",2014,"Adjacent",971,106
"47037016700","Census Tract 167, Davidson County, Tennessee",2014,"Adjacent",1370,80
"47037016800","Census Tract 168, Davidson County, Tennessee",2014,"Adjacent",1198,134
"47037016900","Census Tract 169, Davidson County, Tennessee",2014,"Adjacent",895,227
"47037017000","Census Tract 170, Davidson County, Tennessee",2014,"Adjacent",917,201
"47037017100","Census Tract 171, Davidson County, Tennessee",2014,"Adjacent",1098,88
"47037017200","Census Tract 172, Davidson County, Tennessee",2014,"Adjacent",831,97
"47037017300","Census Tract 173, Davidson County, Tennessee",2014,"Adjacent",768,47
"47037019200","Census Tract 192, Davidson County, Tennessee",2014,"Adjacent",824,190
"47037019300","Census Tract 193, Davidson County, Tennessee",2014,"Adjacent",229,85
"47037019400","Census Tract 194, Davidson County, Tennessee",2014,"Adjacent",761,115
"47037019600","Census Tract 196, Davidson County, Tennessee",2014,"Adjacent",869,65
"47037019500","Census Tract 195, Davidson County, Tennessee",2015,"CBD",1272,107
"47037011300","Census Tract 113, Davidson County, Tennessee",2015,"Adjacent",752,65
"47037011700","Census Tract 117, Davidson County, Tennessee",2015,"Adjacent",787,92
"47037011800","Census Tract 118, Davidson County, Tennessee",2015,"Adjacent",791,204
"47037011900","Census Tract 119, Davidson County, Tennessee",2015,"Adjacent",719,30
"47037012100","Census Tract 121, Davidson County, Tennessee",2015,"Adjacent",838,70
"47037012200","Census Tract 122, Davidson County, Tennessee",2015,"Adjacent",975,80
"47037012600","Census Tract 126, Davidson County, Tennessee",2015,"Adjacent",826,73
"47037012702","Census Tract 127.02, Davidson County, Tennessee",2015,"Adjacent",948,58
"47037013400","Census Tract 134, Davidson County, Tennessee",2015,"Adjacent",1118,183
"47037013500","Census Tract 135, Davidson County, Tennessee",2015,"Adjacent",897,58
"47037013601","Census Tract 136.01, Davidson County, Tennessee",2015,"Adjacent",657,69
"47037013602","Census Tract 136.02, Davidson County, Tennessee",2015,"Adjacent",677,98
"47037013700","Census Tract 137, Davidson County, Tennessee",2015,"Adjacent",702,95
"47037013800","Census Tract 138, Davidson County, Tennessee",2015,"Adjacent",732,38
"47037013900","Census Tract 139, Davidson County, Tennessee",2015,"Adjacent",738,31
"47037014200","Census Tract 142, Davidson County, Tennessee",2015,"Adjacent",532,77
"47037014300","Census Tract 143, Davidson County, Tennessee",2015,"Adjacent",785,88
"47037014400","Census Tract 144, Davidson County, Tennessee",2015,"Adjacent",651,145
"47037015900","Census Tract 159, Davidson County, Tennessee",2015,"Adjacent",374,63
"47037016000","Census Tract 160, Davidson County, Tennessee",2015,"Adjacent",803,184
"47037016100","Census Tract 161, Davidson County, Tennessee",2015,"Adjacent",617,51
"47037016200","Census Tract 162, Davidson County, Tennessee",2015,"Adjacent",649,96
"47037016300","Census Tract 163, Davidson County, Tennessee",2015,"Adjacent",826,54
"47037016400","Census Tract 164, Davidson County, Tennessee",2015,"Adjacent",978,86
"47037016500","Census Tract 165, Davidson County, Tennessee",2015,"Adjacent",1097,91
"47037016600","Census Tract 166, Davidson County, Tennessee",2015,"Adjacent",1005,158
